Ville,Latitude,Longitude,Population,PM2.5 (µg/m³),NO2 (ppb),O3 (ppb),Grippe (cas/100k hab.),Hospitalisations grippe (taux %)
New York,40.7128,-74.006,8480000,11.2,28.2,35.5,295,6.7
Los Angeles,34.0522,-118.2437,3800000,19.3,15.1,30.9,770,7.3
Chicago,41.8781,-87.6298,8984400,16.2,12.0,53.1,808,3.2
Houston,29.7604,-95.3698,7800000,14.4,38.5,34.3,649,1.8
Phoenix,33.4484,-112.074,4777000,8.2,39.0,31.2,816,2.6
Philadelphia,39.9526,-75.1652,1573916,8.2,34.3,41.7,595,4.0
San Antonio,29.4241,-98.4936,2454000,6.8,19.1,25.6,618,6.7
San Diego,32.7157,-117.1611,3345000,18.1,12.9,52.1,542,7.0
Dallas,32.7767,-96.797,1304238,14.4,30.5,23.0,220,1.0
San Jose,37.3382,-121.8863,1834000,15.9,23.2,59.5,286,4.6
Austin,30.2672,-97.7431,2274000,6.3,13.7,50.9,225,3.9
Jacksonville,30.3322,-81.6557,1345000,19.6,24.9,27.9,709,2.6
Fort Worth,32.7555,-97.3308,989878,17.7,11.0,20.2,451,1.8
Columbus,39.9612,-82.9988,1727000,9.0,37.3,52.6,606,3.4
Charlotte,35.2271,-80.8431,2321000,8.5,17.8,48.3,926,7.6
San Francisco,37.7749,-122.4194,827526,8.6,29.9,49.2,399,3.3
Indianapolis,39.7684,-86.1581,879293,10.3,19.4,50.9,528,4.6
Seattle,47.6062,-122.3321,755078,13.3,25.6,23.0,804,5.9
Denver,39.7392,-104.9903,716577,12.0,26.4,34.3,383,3.5
Washington,38.9072,-77.0369,7958000,10.1,15.5,24.6,261,7.8
Boston,42.3601,-71.0589,653833,14.6,39.1,54.5,431,7.7
El Paso,31.7619,-106.485,678958,8.0,33.3,44.9,328,2.8
Nashville,36.1627,-86.7816,689447,10.1,38.2,33.2,943,4.5
Detroit,42.3314,-83.0458,633218,11.1,36.8,22.5,846,3.1
Portland,45.5051,-122.675,69847,12.4,27.9,32.4,706,3.0
Memphis,35.1495,-90.049,1179000,17.0,37.7,33.0,897,1.3
Oklahoma City,35.4676,-97.5164,4095000,8.8,12.7,49.2,842,5.3
Las Vegas,36.1699,-115.1398,2953000,13.2,15.9,45.5,349,4.5
Louisville,38.2527,-85.7585,1126000,14.3,11.4,55.5,914,1.4
Baltimore,39.2904,-76.6122,568271,6.7,19.8,38.9,631,3.0
